# day,title,summary,refs(semicolon-separated)
129,The vision of Isaiah,The holy God,Isaiah 1–12
130,Judgment on the nations,The Lord of hosts reigns,Isaiah 13–27
131,Trust in God alone,Deliverance from Assyria,Isaiah 28–39
132,Comfort ye my people,The suffering servant,Isaiah 40–53
133,Arise, shine,Future glory for Zion,Isaiah 54–66
134,Jeremiah called,The weeping prophet,Jeremiah 1–6
135,Judgment on Judah,False prophets and broken covenant,Jeremiah 7–20
136,Plots and persecution,The new covenant promised,Jeremiah 21–33
137,The fall of Jerusalem,Hope in exile,Jeremiah 34–39
138,In Egypt,God’s word stands,Jeremiah 40–45
139,Judgment on the nations,Babylon’s doom,Jeremiah 46–52
140,Tears for Jerusalem,The Lord is my portion,Lamentations 1–5
141,Visions of God,The prophet commissioned,Ezekiel 1–7
142,God’s glory departs,Judgment on Israel,Ezekiel 8–24
143,Prophecies to the nations,Egypt and Tyre,Ezekiel 25–32
144,The watchman’s call,A new heart promised,Ezekiel 33–39
145,The new temple,The glory returns,Ezekiel 40–48
146,Daniel in Babylon,Faithful in exile,Daniel 1–6
147,Visions of kingdoms,The Ancient of Days,Daniel 7–12
148,Hosea’s marriage,God’s steadfast love,Hosea 1–14
149,The day of the Lord,God roars from Zion,Joel 1–3
150,Judgment on Edom,The kingdom is the Lord’s,Obadiah 1
151,Jonah’s flight,God’s mercy on Nineveh,Jonah 1–4
152,Do justly,Love mercy,Walk humbly,Micah 1–7
153,Nahum’s vision,The fall of Nineveh,Nahum 1–3
154,Habakkuk’s prayer,The just shall live by faith,Habakkuk 1–3
155,Zephaniah’s warning,The Lord in your midst,Zephaniah 1–3
156,Return and rebuild,The Lord remembers,Zechariah 1–8
157,Visions of the Messiah,The coming King,Zechariah 9–14
158,Malachi’s rebuke,The Sun of righteousness,Malachi 1–4
159,The King has come,The birth of Jesus,Matthew 1–4
160,Sermon on the Mount,Kingdom principles,Matthew 5–7
161,Miracles of Jesus,Faith and authority,Matthew 8–10
162,Parables of the kingdom,Rest for the weary,Matthew 11–13
163,Confession and transfiguration,Who do you say I am?,Matthew 14–17
164,Teachings on humility and forgiveness,Matthew 18–20
165,The triumphal entry,Signs of the end,Matthew 21–25
166,The cross and resurrection,The Great Commission,Matthew 26–28
167,The beginning of the gospel,Authority of the Son of God,Mark 1–3
168,Parables and miracles,Who is this man?,Mark 4–6
169,Tradition vs truth,The way of the cross,Mark 7–10
170,The temple cleansed,Watch therefore,Mark 11–13
171,The passion of Christ,The risen Lord,Mark 14–16
172,Good news of great joy,The Savior is born,Luke 1–3
173,Teaching and miracles,The twelve sent,Luke 4–9
174,The good Samaritan,The Lord’s prayer,Luke 10–13
175,The prodigal son,Counting the cost,Luke 14–17
176,The rich man and Lazarus,Coming of the kingdom,Luke 18–21
177,The betrayal and crucifixion,On the road to Emmaus,Luke 22–24
178,In the beginning was the Word,The Lamb of God,John 1–3
179,Living water,The bread of life,John 4–6
180,I am the light of the world,The Good Shepherd,John 7–10
181,I am the resurrection and the life,Lazarus raised,John 11–12
182,I am the way,The true vine,John 13–15
183,The Comforter promised,Jesus’ prayer,John 16–17
184,The cross and resurrection,That you may believe,John 18–21
185,The Holy Ghost poured out,The church is born,Acts 1–4
186,Persecution and boldness,Stephen’s testimony,Acts 5–7
187,Philip in Samaria,Saul converted,Acts 8–9
188,Peter’s vision,Gentiles included,Acts 10–12
189,Paul’s first journey,The Jerusalem council,Acts 13–15
190,Paul’s second journey,The gospel spreads,Acts 16–18
191,Paul’s third journey,Farewell to elders,Acts 19–21
192,Paul arrested,Testifies before rulers,Acts 22–26
193,Paul sails to Rome,The gospel unhindered,Acts 27–28
194,The righteousness of God,Justified by faith,Romans 1–4
195,Dead to sin,Alive in Christ,Romans 5–8
196,God’s plan for Israel,Living sacrifice,Romans 9–12
197,Submit to authority,Love fulfills the law,Romans 13–16
198,Christ the wisdom of God,The temple of the Spirit,1 Corinthians 1–6
199,Marriage and Christian liberty,Run the race,1 Corinthians 7–10
200,Spiritual gifts,The resurrection,1 Corinthians 11–16
201,God of comfort,The ministry of reconciliation,2 Corinthians 1–7
202,Generous giving,Paul’s defense,2 Corinthians 8–13
203,Grace through faith,Freedom in Christ,Galatians 1–6
204,Blessings in Christ,The armor of God,Ephesians 1–6
205,Christ our life,Rejoice in the Lord,Philippians 1–4
206,The supremacy of Christ,Complete in Him,Colossians 1–4
207,Faith, hope, and love,The coming of the Lord,1 Thessalonians 1–5
208,Stand firm,The man of lawlessness,2 Thessalonians 1–3
209,Sound doctrine,Christ Jesus came to save,1 Timothy 1–6
210,Preach the word,Finishing the race,2 Timothy 1–4
211,Teach sound doctrine,The grace of God,Titus 1–3
212,From slave to brother,Philemon 1
213,The supremacy of Christ,The new covenant,Hebrews 1–8
214,Faith and endurance,The great cloud of witnesses,Hebrews 9–13
215,Be doers of the word,Faith and works,James 1–5
216,Be holy,Christ the cornerstone,1 Peter 1–5
217,False teachers,The day of the Lord,2 Peter 1–3
218,Fellowship with God,God is love,1 John 1–5
219,Truth and love,Walk in truth,2 John 1,3 John 1
220,Contend for the faith,Keep yourselves in God’s love,Jude 1
221,The revelation of Jesus Christ,The churches addressed,Revelation 1–3
222,The throne room of heaven,The Lamb opens the seals,Revelation 4–7
223,Trumpets of judgment,The little book,Revelation 8–11
224,The dragon and the beasts,The Lamb on Mount Zion,Revelation 12–14
225,The wrath of God,The fall of Babylon,Revelation 15–18
226,The marriage supper of the Lamb,Christ returns,Revelation 19–20
227,A new heaven and a new earth,The river of life,Revelation 21–22
